id;nom;nom_com_m;insee_com;statut;population;insee_arr;insee_dep;insee_reg;code_epci;X_COORD;Y_COORD;long;lat
COMMUNE_0000000009727802;Marly;MARLY;59383;Commune simple;11855;6;59;32;245901160;739161,6143;7027658,698;3.549444459;50.34543945
COMMUNE_0000000009727694;Hénin-Beaumont;HENIN-BEAUMONT;62427;Commune simple;26022;7;62;32;246200299;697099,428;7034643,56;2.959253231;50.40936299
COMMUNE_0000000009727824;Aniche;ANICHE;59008;Commune simple;10244;3;59;32;245901152;718239,8591;7025916,09;3.255832509;50.3307522
COMMUNE_0000000009727818;Somain;SOMAIN;59574;Commune simple;12151;3;59;32;245901152;719633,5426;7029172,78;3.275539573;50.35994838
COMMUNE_0000000009727826;Sin-le-Noble;SIN-LE-NOBLE;59569;Commune simple;15682;3;59;32;200044618;708573,6589;7030004,043;3.120341968;50.36766013
COMMUNE_0000000009727563;Carvin;CARVIN;62215;Commune simple;17124;7;62;32;246200299;696351,9548;7043560,702;2.948671423;50.48940521
COMMUNE_0000000009727244;Lille;LILLE;59350;Préfecture de région;232787;5;59;32;245900410;703330,4999;7059432,371;3.046993569;50.63185877
COMMUNE_0000000009727338;Loos;LOOS;59360;Commune simple;22233;5;59;32;245900410;701424,4365;7056867,805;3.020089687;50.60885048
COMMUNE_0000000009727429;Seclin;SECLIN;59560;Commune simple;12414;5;59;32;245900410;702487,7849;7049928,503;3.035043295;50.54656688
COMMUNE_0000000009727715;Bully-les-Mines;BULLY-LES-MINES;62186;Commune simple;12163;7;62;32;246200364;680030,9725;7038689,982;2.719277387;50.44537554
COMMUNE_0000000009727346;Haubourdin;HAUBOURDIN;59286;Commune simple;14936;5;59;32;245900410;699082,5536;7056333,947;2.987061934;50.60406025
COMMUNE_0000000009727562;Courrières;COURRIERES;62250;Commune simple;10512;7;62;32;246200299;696167,9101;7039558,412;2.94612031;50.45347804
COMMUNE_0000000009727702;Méricourt;MERICOURT;62570;Commune simple;11363;7;62;32;246200364;690637,2723;7033555,055;2.868499484;50.39952797
COMMUNE_0000000009727161;Roubaix;ROUBAIX;59512;Commune simple;96990;5;59;32;245900410;712877,3031;7065743,193;3.181904416;50.68836735
COMMUNE_0000000009727472;Auchel;AUCHEL;62048;Commune simple;10291;2;62;32;200072460;662246,9379;7046015,044;2.468583942;50.51030575
COMMUNE_0000000009727439;Annœullin;ANNŒULLIN;59011;Commune simple;10428;5;59;32;245901061;694844,8925;7047648,3;2.927413958;50.52608451
COMMUNE_0000000009727840;Douai;DOUAI;59178;Sous-préfecture;39700;3;59;32;200044618;706469,9708;7031572,713;3.090839449;50.38176826
COMMUNE_0000000009727781;Berck;BERCK;62108;Commune simple;14189;4;62;32;200069029;599094,6645;7036083,169;1.582287187;50.4141612
COMMUNE_0000000009726967;Grande-Synthe;GRANDE-SYNTHE;59271;Commune simple;22966;4;59;32;245900428;650115,1924;7102563,533;2.290674027;51.01681604
COMMUNE_0000000009726962;Dunkerque;DUNKERQUE;59183;Sous-préfecture;87353;4;59;32;245900428;653363,0416;7104018,207;2.336680097;51.03011552
COMMUNE_0000000009727092;Halluin;HALLUIN;59279;Commune simple;20800;5;59;32;245900410;708935,037;7075365,404;3.126433831;50.77477593
COMMUNE_0000000009728033;Arras;ARRAS;62041;Préfecture;41019;1;62;32;200033579;683307,2213;7021374,325;2.766055463;50.29001771
COMMUNE_0000000009727568;Harnes;HARNES;62413;Commune simple;12354;7;62;32;246200364;693144,0454;7039396,735;2.903607181;50.4520009
COMMUNE_0000000009727333;Wattignies;WATTIGNIES;59648;Commune simple;14549;5;59;32;245900410;702943,4533;7054350,888;3.04149464;50.58625647
COMMUNE_0000000009728326;Cambrai;CAMBRAI;59122;Sous-préfecture;32558;2;59;32;200068500;717317,8867;7008042,436;3.242132257;50.17028933
COMMUNE_0000000009727240;Mons-en-Barœul;MONS-EN-BARŒUL;59410;Commune simple;20782;5;59;32;245900410;707664,4674;7060707,61;3.108170726;50.64326482
COMMUNE_0000000009728766;Fourmies;FOURMIES;59249;Commune simple;11727;1;59;32;200043404;775916,1669;6990325,859;4.058052302;50.00684635
COMMUNE_0000000009727523;Étaples;ETAPLES;62318;Commune simple;10865;4;62;32;200069029;604220,0668;7048116,593;1.651397128;50.52296749
COMMUNE_0000000009727120;Saint-Omer;SAINT-OMER;62765;Sous-préfecture;14782;5;62;32;200069037;647951,3208;7074810,464;2.263587332;50.76768329
COMMUNE_0000000009727159;Wattrelos;WATTRELOS;59650;Commune simple;40958;5;59;32;245900410;715333,0177;7067664,03;3.216668063;50.70554816
COMMUNE_0000000009727173;Armentières;ARMENTIERES;59017;Commune simple;24882;5;59;32;245900410;691505,5295;7066057,31;2.880000489;50.69126126
